Transaction ID,Date - Time,Type,Cashier,Receipt Number,Gratuity,Subtotal,Discount,Tax,Total
428604887,2015-11-8 1:31:00,Walk In,Rachel Dicke,4651,1.755,9.75,0,0.825,16.44
428604888,2015-11-8 0:54:00,Walk In,Rachel Dicke,4653,1.755,9.75,0,0.825,16.44
428604889,2015-11-8 0:31:00,Walk In,Rachel Dicke,4655,0,7.5,0,0.63,10.84
428604890,2015-11-8 0:27:00,Walk In,Rachel Dicke,4657,1.89,10.5,0,0.885,17.7
428604891,2015-11-8 0:17:00,Walk In,Rachel Dicke,4659,6.6,33,0,2.79,56.52
428604892,2006-5-3 18:48:00,Walk In,Rachel Dicke,4661,5.76,52.32,21,2.64,45.28
428604893,2008-1-14 18:48:00,Walk In,Rachel Dicke,4663,1.29,8.1,3,0.435,7.38
428604894,2008-1-17 18:48:00,Walk In,Rachel Dicke,4665,3.105,28.275,0,2.385,40.88
428604895,2009-1-18 18:48:00,Walk In,Rachel Dicke,4667,6.315,31.575,0,2.655,45.64
428604896,2009-5-13 18:48:00,Walk In,Rachel Dicke,4669,7.965,44.22,0,3.72,63.92
428604897,2009-11-24 18:48:00,Walk In,Rachel Dicke,4671,2.73,19.5,0,1.65,28.2
428604898,2010-3-28 18:48:00,Walk In,Rachel Dicke,4673,1.44,7.56,0,0.63,10.92
428604899,2010-7-16 18:48:00,Walk In,Rachel Dicke,4675,2.07,17.31,0,1.455,25.02
428604900,2010-8-15 18:48:00,Walk In,Rachel Dicke,4677,2.37,15.825,0,1.335,22.88
428604901,2010-9-27 18:48:00,Walk In,Rachel Dicke,4679,1.71,12.21,0,1.035,17.66
428604902,2010-10-20 18:48:00,Walk In,Rachel Dicke,4681,1.035,8.595,0,0.72,12.42
428604903,2010-11-23 18:48:00,Walk In,Rachel Dicke,4683,7.485,53.43,0,4.5,77.24
428604904,2011-5-3 18:48:00,Walk In,Rachel Dicke,4685,7.485,39.36,0,3.315,56.9
428604905,2011-6-24 18:48:00,Walk In,Rachel Dicke,4687,1.26,8.445,1.5,0.585,10.04
428604906,2012-4-28 18:48:00,Walk In,Rachel Dicke,4689,11.115,61.725,10.5,4.32,74.06
428604907,2012-5-10 18:48:00,Walk In,Rachel Dicke,4691,4.71,31.38,4.5,2.265,38.86
428604908,2012-10-30 18:48:00,Walk In,Rachel Dicke,4693,12.405,68.895,15,4.545,77.92
428604909,2012-12-6 18:48:00,Walk In,Rachel Dicke,4695,9.165,48.225,12,3.06,52.38
428604910,2013-3-5 18:48:00,Walk In,Rachel Dicke,4697,8.4,64.605,18,3.93,67.38
428604911,2013-7-27 18:48:00,Walk In,Rachel Dicke,4699,8.415,49.47,18,2.655,45.5
428604912,2013-11-28 18:48:00,Walk In,Rachel Dicke,4701,0.555,3.225,0,0.27,4.66
428604913,2014-8-10 18:48:00,Walk In,Rachel Dicke,4703,5.88,58.755,9,4.2,71.94
428604914,2014-9-26 18:48:00,Walk In,Rachel Dicke,4705,4.575,45.705,21,2.085,35.72
428604915,2015-2-12 23:16:00,Walk In,Rachel Dicke,4707,2.805,25.47,9,1.395,23.82
428604916,2015-3-5 23:16:00,Walk In,Rachel Dicke,4709,13.71,68.52,13.5,4.635,79.54
428604917,2006-1-1 23:16:00,Walk In,Rachel Dicke,4711,5.43,38.835,6,2.775,47.48
428604918,2006-3-12 13:04:00,Walk In,Rachel Dicke,4713,0.18,1.575,0,0.135,2.28
428604919,2006-4-9 1:36:00,Walk In,Rachel Dicke,4715,0,11.385,0,0.96,16.46
428604920,2006-8-18 7:26:00,Walk In,Rachel Dicke,4717,6.39,53.19,0,4.485,76.9
428604921,2006-12-15 9:04:00,Walk In,Rachel Dicke,4719,2.685,22.425,0,1.89,32.42
428604922,2007-3-16 11:42:00,Walk In,Rachel Dicke,4721,3.48,34.755,0,2.925,50.24
428604923,2007-6-26 3:50:00,Walk In,Rachel Dicke,4723,3.465,19.215,0,1.62,27.78
428604924,2008-2-15 11:04:00,Walk In,Rachel Dicke,4725,8.55,53.46,0,4.5,77.28
428604925,2008-2-23 19:30:00,Walk In,Rachel Dicke,4727,8.61,61.5,0,5.19,88.92
428604926,2008-5-26 2:14:00,Walk In,Rachel Dicke,4729,4.98,49.74,0,4.185,71.9
428604927,2008-8-27 12:40:00,Walk In,Rachel Dicke,4731,3.825,20.16,0,1.695,29.14
428604928,2008-11-22 18:48:00,Walk In,Rachel Dicke,4733,2.595,23.625,0,1.995,34.16
428604929,2009-2-8 19:48:00,Walk In,Rachel Dicke,4735,12.435,65.43,0,5.52,94.6
428604930,2009-7-7 18:46:00,Walk In,Rachel Dicke,4737,11.34,59.67,0,5.025,86.26
428604931,2011-12-19 18:06:00,Walk In,Rachel Dicke,4739,10.74,56.505,0,4.77,81.7
428604932,2011-12-20 17:36:00,Walk In,Rachel Dicke,4741,5.745,57.435,0,4.845,83.04
428604933,2012-3-4 2:56:00,Walk In,Rachel Dicke,4743,6,60,0,5.055,86.74
428604934,2012-5-20 5:32:00,Walk In,Rachel Dicke,4745,12.48,62.415,0,5.265,90.24
428604935,2012-11-19 9:20:00,Walk In,Rachel Dicke,4747,3.81,27.18,0,2.295,39.3
428604936,2013-5-22 20:30:00,Walk In,Rachel Dicke,4749,5.55,42.72,4.5,3.225,55.26
428604937,2013-11-10 13:18:00,Walk In,Rachel Dicke,4751,3.225,16.935,4.5,1.05,17.98
428604938,2014-5-5 19:04:00,Walk In,Rachel Dicke,4753,6.18,41.19,28.5,1.065,18.34
428604939,2014-6-11 4:32:00,Walk In,Rachel Dicke,4755,0.81,8.07,3,0.42,7.32
428604940,2014-7-14 8:26:00,Walk In,Rachel Dicke,4757,1.905,13.62,6,0.645,11.02
428604941,2014-8-12 14:46:00,Walk In,Rachel Dicke,4759,6.18,51.48,10.5,3.45,59.24
428604942,2007-4-20 19:42:00,Walk In,Rachel Dicke,4761,0.405,1.995,0,0.165,2.88
428604943,2009-3-4 11:38:00,Walk In,Rachel Dicke,4763,10.62,59.04,19.5,3.33,57.16
428604944,2009-7-31 1:16:00,Walk In,Rachel Dicke,4765,5.13,30.195,21,0.78,13.3
428604945,2009-11-4 7:54:00,Walk In,Rachel Dicke,4767,7.08,44.295,16.5,2.34,40.18
428604946,2009-12-17 15:28:00,Walk In,Rachel Dicke,4769,4.875,27.09,0,2.28,39.16
428604947,2010-6-7 22:38:00,Walk In,Rachel Dicke,4771,9.51,55.965,0,4.71,80.9
428604948,2010-10-10 8:42:00,Walk In,Rachel Dicke,4773,3.825,38.22,0,3.225,55.26
428604949,2011-5-9 7:36:00,Walk In,Rachel Dicke,4775,7.53,47.07,0,3.96,68.04
428604950,2011-10-27 11:10:00,Walk In,Rachel Dicke,4777,3.465,28.905,0,2.43,41.78
428604951,2011-11-12 7:46:00,Walk In,Rachel Dicke,4779,6.6,38.79,0,3.27,56.08
428604952,2011-11-14 3:32:00,Walk In,Rachel Dicke,4781,8.055,42.42,0,3.57,61.32
428604953,2012-7-2 14:48:00,Walk In,Rachel Dicke,4783,7.35,52.485,24,2.4,41.18
428604954,2012-9-25 4:00:00,Walk In,Rachel Dicke,4785,7.59,58.44,10.5,4.035,69.3
428604955,2012-10-31 20:22:00,Walk In,Rachel Dicke,4787,1.32,7.305,3,0.36,6.22
428604956,2013-7-14 19:48:00,Walk In,Rachel Dicke,4789,8.865,52.14,22.5,2.505,42.86
428604957,2014-2-26 10:52:00,Walk In,Rachel Dicke,4791,1.71,14.205,6,0.69,11.86
428604958,2014-6-11 17:32:00,Walk In,Rachel Dicke,4793,8.865,59.07,19.5,3.33,57.2
428604959,2014-6-18 6:56:00,Walk In,Rachel Dicke,4795,10.2,56.64,6,4.275,73.22
428604960,2014-8-8 20:38:00,Walk In,Rachel Dicke,4797,10.635,66.465,27,3.33,57.06
428604961,2014-8-9 8:38:00,Walk In,Rachel Dicke,4799,7.785,59.865,6,4.545,77.88
428604962,2014-9-9 9:28:00,Walk In,Rachel Dicke,4801,3.21,17.805,7.5,0.87,14.9
428604963,2014-11-22 21:20:00,Walk In,Rachel Dicke,4803,2.25,20.43,1.5,1.59,27.36
428604964,2015-2-14 15:24:00,Walk In,Rachel Dicke,4805,0.855,4.71,0,0.39,6.8
428604965,2015-11-2 16:08:00,Walk In,Rachel Dicke,4807,0.6,4.29,1.5,0.24,4.04
428604966,2015-12-2 7:56:00,Walk In,Rachel Dicke,4809,0.525,4.02,1.5,0.21,3.64
428604967,2006-3-23 1:02:00,Walk In,Rachel Dicke,4811,0.36,1.77,0,0.15,2.56
428604968,2007-6-4 22:44:00,Walk In,Rachel Dicke,4813,0.69,6.885,1.5,0.45,7.78
428604969,2007-7-8 11:58:00,Walk In,Rachel Dicke,4815,6.36,57.81,10.5,3.99,68.4
428604970,2007-7-18 4:24:00,Walk In,Rachel Dicke,4817,5.805,48.33,0,4.08,69.88
428604971,2007-12-20 14:18:00,Walk In,Rachel Dicke,4819,3.885,27.75,0,2.34,40.12
428604972,2008-6-3 22:26:00,Walk In,Rachel Dicke,4821,1.665,11.85,0,1.005,17.14
428604973,2009-7-3 12:48:00,Walk In,Rachel Dicke,4823,2.1,10.485,0,0.885,15.16
428604974,2010-4-2 14:14:00,Walk In,Rachel Dicke,4825,1.485,13.545,0,1.14,19.58
428604975,2010-10-4 2:38:00,Walk In,Rachel Dicke,4827,3.48,34.845,0,2.94,50.38
428604976,2010-12-12 18:26:00,Walk In,Rachel Dicke,4829,7.08,44.25,0,3.735,63.98
428604977,2010-12-15 17:26:00,Walk In,Rachel Dicke,4831,9.69,53.82,0,4.53,77.8
428604978,2011-3-1 5:14:00,Walk In,Rachel Dicke,4833,9.315,58.23,0,4.905,84.18
428604979,2011-5-6 4:46:00,Walk In,Rachel Dicke,4835,7.11,41.835,0,3.525,60.48
428604980,2012-1-30 6:34:00,Walk In,Rachel Dicke,4837,6.585,50.7,0,4.275,73.3
428604981,2012-5-14 18:02:00,Walk In,Rachel Dicke,4839,4.41,40.11,0,3.375,57.98
428604982,2012-10-15 5:16:00,Walk In,Rachel Dicke,4841,10.785,63.48,0,5.355,91.78
428604983,2013-9-27 19:40:00,Walk In,Rachel Dicke,4843,0.315,3.18,0,0.27,4.6
428604984,2013-12-22 20:08:00,Walk In,Rachel Dicke,4845,8.91,68.52,0,5.775,99.06
428604985,2014-6-28 13:40:00,Walk In,Rachel Dicke,4847,1.215,11.01,1.5,0.795,13.74
428604986,2014-7-3 18:20:00,Walk In,Rachel Dicke,4849,2.865,22.095,3,1.605,27.6
428604987,2014-8-21 16:48:00,Walk In,Rachel Dicke,4851,3.045,20.265,9,0.945,16.28
428604988,2014-12-12 8:18:00,Walk In,Rachel Dicke,4853,6.015,50.175,22.5,2.34,40.02
428604989,2014-12-13 0:58:00,Walk In,Rachel Dicke,4855,1.575,10.5,1.5,0.765,13.02
428604990,2015-8-1 18:44:00,Walk In,Rachel Dicke,4857,4.155,27.735,10.5,1.455,24.92
428604991,2015-10-7 2:02:00,Walk In,Rachel Dicke,4859,2.175,19.755,6,1.155,19.88
428604992,2006-1-19 16:32:00,Walk In,Rachel Dicke,4861,8.7,57.96,24,2.865,49.1
428604993,2006-2-18 15:56:00,Walk In,Rachel Dicke,4863,9.675,53.745,15,3.27,56.02
